State, Against Guns, Favor Of Guns
AK, 9, 2
AL, 61, 21
AR, 35, 9
AZ, 70, 37
CA, 508, 162
CO, 79, 24
CT, 49, 26
DC, 50, 18
DE, 18, 9
FL, 326, 118
GA, 100, 40
HI, 17, 7
IA, 21, 7
ID, 19, 10
IL, 122, 73
IN, 80, 31
KS, 34, 11
KY, 36, 23
LA, 31, 7
MA, 94, 39
MD, 82, 30
ME, 10, 7
MI, 87, 35
MN, 47, 15
MO, 86, 36
MS, 22, 13
MT, 10, 3
NC, 105, 50
ND, 5, 0
NE, 25, 7
NH, 17, 7
NJ, 70, 39
NM, 19, 6
NV, 54, 22
NY, 258, 99
OH, 135, 62
OK, 46, 18
OR, 72, 26
PA, 200, 57
RI, 6, 3
SC, 56, 24
SD, 6, 2
TN, 77, 23
TX, 246, 105
UT, 32, 10
VA, 124, 34
VT, 10, 2
WA, 86, 34
WI, 42, 15
WV, 22, 10
WY, 7, 1
